location,item,item_ID,npc_ID,npc_experience,init,description,condition,threshold,wordview,bgm
大漠地下,仪式,71,,,0.0,,,,游戏设定在一个中国的架空古代朝代中，主角完全失忆，从地牢中逃到南方客栈，之后又得到情报要去壁画窟。但是由于遇到流沙而昏迷，醒来发现自己被人救下。现在主角身处大漠的地下密室，旁边只能看到黄土墙壁，以及一个救下了主角的在大漠地下苦修的苦修者。,truth
另一个世界,,0,,,1.0,"你周围的黄沙被刺眼的白光所替代，你正疑惑那是否是照妖镜
随着白光推进，你发现这道光竟然来自于一个身披白甲的机关兽
“未授权”
你不知道这三个字的含义，
但是机关兽发出的光芒转为红色，发出的警鸣让你觉得不安",,,游戏设定主角为了寻找“绿衣人”从中国古代的架空朝代穿越到现代，周围都是他看不懂的高科技物品，面前有一个现代特工手持枪械对着他问他究竟是谁。,bgm3
另一个世界,“鬣狗”,,6,,1.0,"此时一个身影将你扑下
而你原本的位置被机关兽的火铳打成了筛子
救你命的那人现在却用改良版火铳对着你，那火铳甚至看不到火绳
你仔细打量了一下，那人覆着玄色夜行衣，布料却闪着鱼鳞似的幽光
你对眼下的状况感到困惑
<placeholder_for_img:snake_appear>",,,游戏设定主角为了寻找“绿衣人”从中国古代的架空朝代穿越到现代，周围都是他看不懂的高科技物品，面前有一个现代特工手持枪械对着他问他究竟是谁。,bgm3
小仓库,九宫格石盘,15,,,1.0,你环视了一下四周，白银色的玄铁门上镶着九宫格石盘,,,游戏设定主角为了寻找“绿衣人”从中国古代的世界穿越到现代的世界，被关在了一个小仓库里，注意对于主角而言，这并非两个时代（古代或现代），而是两个不同的世界观。回复时请体现出“一个古代人眼中的现代科技”。如果玩家说出来了某些近现代才有的物品，你应该回答“这个词在你的脑海里一闪而过，它不属于你的世界”。,bgm3
小仓库,西域迷香,16,,,1.0,一旁的金属架上的盒子里摆放着你从未见过的西域迷香,,,游戏设定主角为了寻找“绿衣人”从中国古代的世界穿越到现代的世界，被关在了一个小仓库里，注意对于主角而言，这并非两个时代（古代或现代），而是两个不同的世界观。回复时请体现出“一个古代人眼中的现代科技”。如果玩家说出来了某些近现代才有的物品，你应该回答“这个词在你的脑海里一闪而过，它不属于你的世界”。,bgm3
小仓库,西洋火镰,17,,,1.0,还有一个方方正正的金属盒子，你不确定那是做什么的，或许是西洋火镰？,,,游戏设定主角为了寻找“绿衣人”从中国古代的世界穿越到现代的世界，被关在了一个小仓库里，注意对于主角而言，这并非两个时代（古代或现代），而是两个不同的世界观。回复时请体现出“一个古代人眼中的现代科技”。如果玩家说出来了某些近现代才有的物品，你应该回答“这个词在你的脑海里一闪而过，它不属于你的世界”。,bgm3
小仓库,十字凿,18,,,,在金属架的下一层，一个被雕刻成十字形的细小凿子。它能凿动什么？,,,游戏设定主角为了寻找“绿衣人”从中国古代的世界穿越到现代的世界，被关在了一个小仓库里，注意对于主角而言，这并非两个时代（古代或现代），而是两个不同的世界观。回复时请体现出“一个古代人眼中的现代科技”。如果玩家说出来了某些近现代才有的物品，你应该回答“这个词在你的脑海里一闪而过，它不属于你的世界”。,bgm3
小仓库,臭鸡蛋,19,,,1.0,你意识到空气中有一股臭味，向下一看，下层的盒子里装着一个腐烂的臭鸡蛋,,,游戏设定主角为了寻找“绿衣人”从中国古代的世界穿越到现代的世界，被关在了一个小仓库里，注意对于主角而言，这并非两个时代（古代或现代），而是两个不同的世界观。回复时请体现出“一个古代人眼中的现代科技”。如果玩家说出来了某些近现代才有的物品，你应该回答“这个词在你的脑海里一闪而过，它不属于你的世界”。,bgm3
小仓库,苍蝇,20,,,1.0,"甚至还有一些苍蝇围绕在旁。
你感到一阵莫名的亲切，这是你在这里唯一熟悉的东西了，看来这里也会有鸡蛋变坏的情况。",,,游戏设定主角为了寻找“绿衣人”从中国古代的世界穿越到现代的世界，被关在了一个小仓库里，注意对于主角而言，这并非两个时代（古代或现代），而是两个不同的世界观。回复时请体现出“一个古代人眼中的现代科技”。如果玩家说出来了某些近现代才有的物品，你应该回答“这个词在你的脑海里一闪而过，它不属于你的世界”。,bgm8
小仓库,黑色轮盘,21,,,1.0,顺着向下的视线，你发现有个栅栏，后面有个你不知道用途的黑色扇叶轮盘。但是你意识到黑色轮盘后面有一条路。,,,游戏设定主角为了寻找“绿衣人”从中国古代的世界穿越到现代的世界，被关在了一个小仓库里，注意对于主角而言，这并非两个时代（古代或现代），而是两个不同的世界观。回复时请体现出“一个古代人眼中的现代科技”。如果玩家说出来了某些近现代才有的物品，你应该回答“这个词在你的脑海里一闪而过，它不属于你的世界”。,bgm3
小仓库,琉璃玉盘,22,,,1.0,"你重新环视了一周没有发现其他有用的东西，抬头看了一下还发现上面有个扎着气孔的琉璃玉盘，中间还点上了一粒朱砂。
<placeholder_for_img:warehouse>",,,游戏设定主角为了寻找“绿衣人”从中国古代的世界穿越到现代的世界，被关在了一个小仓库里，注意对于主角而言，这并非两个时代（古代或现代），而是两个不同的世界观。回复时请体现出“一个古代人眼中的现代科技”。如果玩家说出来了某些近现代才有的物品，你应该回答“这个词在你的脑海里一闪而过，它不属于你的世界”。,bgm3
实验室,,0,,,1.0,"你看到一面由青铜镜面组成的墙体，某个青铜镜面上竟呈现出了外界图像：
你所寻找的绿衣人站在穿着制服的人群前。
他们的穿着你看不懂的青色鳞衣。
绿衣人对他们做施法状，你看到似乎有一些绿光从他们的身体中消散。
当首領用独属于他们这个世界的小刀刮开掌心时，刀刃仿佛切入蜡像——伤口翻卷出棉絮状肌理，本该流出的红色液体并未显现。
青鳞鬼卒们见状也纷纷尝试，他们似乎变成了天下无敌、刀枪不怕的无敌军队。
直到某个瞬间，一个青鳞鬼卒开始攻击身边的队友，所有人都渐渐失去理智，宛如丧尸一般开始相互攻击。
而此时的绿衣人早已化作烟尘，或许逃脱到另一个世界去了。
<placeholder_for_img:Riot>
很快混乱就升级了，丧尸们拿出了火铳开始随意射击，有个丧尸将火铳瞄准你的方向射去，之后青铜镜只剩杂声了。",,,游戏设定主角为了寻找“绿衣人”从中国古代的世界穿越到现代的世界，现代人在实验室中被绿衣人转变为僵尸正在发生暴乱，注意对于主角而言，这并非两个时代（古代或现代），而是两个不同的世界观。请体现出“一个古代人眼中的现代科技”。如果玩家说出来了某些近现代才有的物品，你应该回答“这个词在你的脑海里一闪而过，它不属于你的世界”。,bgm4
实验室,“鬣狗”,,7,,1.0,你转身时撞见了身着黑色玄铁衣的“鬣狗”,,,游戏设定主角为了寻找“绿衣人”从中国古代的世界穿越到现代的世界，现代人在实验室中被绿衣人转变为僵尸正在发生暴乱，注意对于主角而言，这并非两个时代（古代或现代），而是两个不同的世界观。请体现出“一个古代人眼中的现代科技”。如果玩家说出来了某些近现代才有的物品，你应该回答“这个词在你的脑海里一闪而过，它不属于你的世界”。,bgm4
医务室,,0,,,1.0,"你环视四周，
房间中间有着不锈钢床配束缚带、合金固定扣。",,,游戏设定主角为了寻找“绿衣人”从中国古代的世界穿越到现代的世界，现正在救助现代特工，正在逐渐获得现代常识，现在还处于过渡阶段，注意对于主角而言，这并非两个时代（古代或现代），而是两个不同的世界观。现在的最终目标应当是救助异世界特工“鬣狗”。,bgm4
医务室,“鬣狗”,23,,,1.0,你将“鬣狗”束缚在那个为病人特制的床上。,,,游戏设定主角为了寻找“绿衣人”从中国古代的世界穿越到现代的世界，现正在救助现代特工，正在逐渐获得现代常识，现在还处于过渡阶段，注意对于主角而言，这并非两个时代（古代或现代），而是两个不同的世界观。现在的最终目标应当是救助异世界特工“鬣狗”。,bgm4
医务室,呼吸机,24,,,1.0,床一侧放着可以调整人吞纳气节的器具，被称为呼吸机。,,,游戏设定主角为了寻找“绿衣人”从中国古代的世界穿越到现代的世界，现正在救助现代特工，正在逐渐获得现代常识，现在还处于过渡阶段，注意对于主角而言，这并非两个时代（古代或现代），而是两个不同的世界观。现在的最终目标应当是救助异世界特工“鬣狗”。,bgm4
医务室,气囊,25,,,1.0,透明罩子连接着蛇皮软管，下方的青铜风箱在打开后会。以龟息节奏鼓动,,,游戏设定主角为了寻找“绿衣人”从中国古代的世界穿越到现代的世界，现正在救助现代特工，正在逐渐获得现代常识，现在还处于过渡阶段，注意对于主角而言，这并非两个时代（古代或现代），而是两个不同的世界观。现在的最终目标应当是救助异世界特工“鬣狗”。,bgm4
医务室,针灸针,26,,,1.0,"周围有着一大堆你看不懂的丹药瓶。
唯独认识针灸针。",,,游戏设定主角为了寻找“绿衣人”从中国古代的世界穿越到现代的世界，现正在救助现代特工，正在逐渐获得现代常识，现在还处于过渡阶段，注意对于主角而言，这并非两个时代（古代或现代），而是两个不同的世界观。现在的最终目标应当是救助异世界特工“鬣狗”。,bgm4
医务室,药品柜,27,,,1.0,"旁边还有些许药品柜。
<placeholder_for_img:hos>",,,游戏设定主角为了寻找“绿衣人”从中国古代的世界穿越到现代的世界，现正在救助现代特工，正在逐渐获得现代常识，现在还处于过渡阶段，注意对于主角而言，这并非两个时代（古代或现代），而是两个不同的世界观。现在的最终目标应当是救助异世界特工“鬣狗”。,bgm4
深层意识,,0,,,1.0,"这个世界的常识从鬣狗的脑中一股脑儿地涌进了你的神智里。
现在你正在以鬣狗的视角回忆他的记忆。

双面卧底""鬣狗""""鬓狗""蛰伏于极端组织不同部门已达217天，
极端组织下达核心指令：盗取高能化合物""以太蝶""。
鬓狗凭借科研组权限渗透核心实验室，鬣狗则引开守卫并消除记录。
情报显示该物质可转化为特殊的生化超级武器。
双面特工调包晶体结构，预设湮灭反应将沿武器管线逆向引爆整个地下基地。

任务目标：
- 瘫痪巡逻机器狗
- 消除监控记录
- 造成一场断电为鬓狗制造机会",,,游戏设定主角是个卧底，代号“鬣狗”，和卧底队友（代号鬓狗）被恐怖分子指派去偷高科技化合物“以太蝶”。主角需要进行以下任务：瘫痪巡逻机器狗、消除监控记录、造成一场断电为鬓狗制造机会。,bgm6
深层意识,实验室,34,,,1.0,现在你藏身于实验室门口的绿化带中,,,游戏设定主角是个卧底，代号“鬣狗”，和卧底队友（代号鬓狗）被恐怖分子指派去偷高科技化合物“以太蝶”。主角需要进行以下任务：瘫痪巡逻机器狗、消除监控记录、造成一场断电为鬓狗制造机会。,bgm6
深层意识,巡逻机器狗,28,,,1.0,巡逻机器狗就在不远处,,,游戏设定主角是个卧底，代号“鬣狗”，和卧底队友（代号鬓狗）被恐怖分子指派去偷高科技化合物“以太蝶”。主角需要进行以下任务：瘫痪巡逻机器狗、消除监控记录、造成一场断电为鬓狗制造机会。,bgm6
深层意识,监控室,29,,,1.0,守着监控室的大门,,,游戏设定主角是个卧底，代号“鬣狗”，和卧底队友（代号鬓狗）被恐怖分子指派去偷高科技化合物“以太蝶”。主角需要进行以下任务：瘫痪巡逻机器狗、消除监控记录、造成一场断电为鬓狗制造机会。,bgm6
深层意识,配电室,30,,,1.0,"在解决了他们后，就去远处的配电室用断电做讯号，通知鬓狗。
<placeholder_for_img:deep>",,,游戏设定主角是个卧底，代号“鬣狗”，和卧底队友（代号鬓狗）被恐怖分子指派去偷高科技化合物“以太蝶”。主角需要进行以下任务：瘫痪巡逻机器狗、消除监控记录、造成一场断电为鬓狗制造机会。,bgm6
深层意识,监控大屏,31,,,0.0,,,,游戏设定主角是个卧底，代号“鬣狗”，和卧底队友（代号鬓狗）被恐怖分子指派去偷高科技化合物“以太蝶”。主角需要进行以下任务：瘫痪巡逻机器狗、消除监控记录、造成一场断电为鬓狗制造机会。,bgm6
深层意识,线圈,32,,,0.0,,,,游戏设定主角是个卧底，代号“鬣狗”，和卧底队友（代号鬓狗）被恐怖分子指派去偷高科技化合物“以太蝶”。主角需要进行以下任务：瘫痪巡逻机器狗、消除监控记录、造成一场断电为鬓狗制造机会。,bgm6
深层意识,电脑,33,,,0.0,,,,游戏设定主角是个卧底，代号“鬣狗”，和卧底队友（代号鬓狗）被恐怖分子指派去偷高科技化合物“以太蝶”。主角需要进行以下任务：瘫痪巡逻机器狗、消除监控记录、造成一场断电为鬓狗制造机会。,bgm6
深层意识,橱柜,35,,,0.0,,,,游戏设定主角是个卧底，代号“鬣狗”，和卧底队友（代号鬓狗）被恐怖分子指派去偷高科技化合物“以太蝶”。主角需要进行以下任务：瘫痪巡逻机器狗、消除监控记录、造成一场断电为鬓狗制造机会。,bgm6
深层意识,断路器,36,,,0.0,,,,游戏设定主角是个卧底，代号“鬣狗”，和卧底队友（代号鬓狗）被恐怖分子指派去偷高科技化合物“以太蝶”。主角需要进行以下任务：瘫痪巡逻机器狗、消除监控记录、造成一场断电为鬓狗制造机会。,bgm6
恐怖分子基地,,0,,,1.0,"正当鬓狗和你回到恐怖分子基地时，
头目“沙利叶”正用开窖藏白兰地的银叉切割烤全羊，琥珀色酒液正顺着羊骨滴落。
<placeholder_for_img:liquid_appear>
<p class=""BOSS-fadeIn"">我先去把以太蝶送到实验室去</p>
鬓狗已拎着铅封箱走向实验室，四名护卫的枪口始终低垂。
<p class=""liquid-fadeIn"">庆功宴的两位英雄已经有一位可以上桌了</p>
他亲自将羊肉割下送到你的眼前，你感到有些不知所措。
<p class=""liquid-fadeIn"">你肯定以为我作为龙头是个冷酷无情的人。</p>
<p class=""liquid-fadeIn"">但是恰恰相反，友谊对我而言是世界上最重要的，只有他让你的生命有意义。</p>
<p class=""liquid-fadeIn"">你看，我喜欢你，我想要你做我的朋友。我罩着你，你帮我办事，合作无间、亲密无间。</p>
<p class=""liquid-fadeIn"">你可以去军需处问一下，我有个礼物送给你。</p>
不知道为什么，你感觉自己的心提到了嗓子眼，近乎于强迫地驱使着自己的双腿走向了军需处。",,,游戏设定主角是个卧底，和卧底队友被恐怖分子指派去偷高科技化合物“以太蝶”成功回来，被恐怖分子头目“沙利叶”赏识。现在沙利叶让主角去军需处领取奖励，军需处的“龟哥”因为主角被头目赏识而对主角十分崇拜与敬仰。,bgm7
恐怖分子基地,“龟哥”,,8,,1.0,军需处的“龟哥”正满眼崇拜地望着你。,,,游戏设定主角是个卧底，和卧底队友被恐怖分子指派去偷高科技化合物“以太蝶”成功回来，被恐怖分子头目“沙利叶”赏识。现在沙利叶让主角去军需处领取奖励，军需处的“龟哥”因为主角被头目赏识而对主角十分崇拜与敬仰。,bgm7
处决场,,0,,,1.0,你攥着左轮枪返回时，鬓狗正被四支枪管压跪在沙利叶擦枪的油布上。,,,游戏设定主角是个卧底，但是卧底队友被恐怖分子发现，要求主角亲自处决队友以此换取信任。,bgm7
处决场,沙利叶,,9,,1.0,"<p class=""liquid-fadeIn"">我以前也把他当作朋友，但是你猜怎么着？他居然告密！</p>
<p class=""liquid-fadeIn"">我们不再是朋友了，我们绝交。</p>
<p class=""liquid-fadeIn"">我的震慑力已经够了，这份祭品归你了，让内鬼的颅骨替你散播威名。</p>
",,,游戏设定主角是个卧底，但是卧底队友被恐怖分子头目“沙利叶”发现，沙利叶要求主角亲自处决队友以此换取信任。,bgm7
处决场,鬓狗,37,,,1.0,"鬓狗太阳穴青筋如淬火钢索般暴起，瞳孔比准星更冷硬
<p class=""BOSS-fadeIn"">来啊你这杂种，给你的主子看看啊</p>
<p class=""BOSS-fadeIn"">证明你的忠诚</p>
<placeholder_for_img:boss_sacrifice>",,,游戏设定主角是个卧底，但是卧底队友被恐怖分子头目“沙利叶”发现，沙利叶要求主角亲自处决队友以此换取信任。,bgm7
记忆圣所,,0,,,1.0,你接受了组织给你的勋章，但同时也对组织提交了退休申请。好在长官通情达理，知道你为了卧底行动牺牲了许多，准你的退休请求。临行前，他将鬓狗卧底前留存的一封信给了你。,,,游戏设定主角会通灵术，为了拯救被施法的特工，使用通灵术同步他的记忆。特工曾经是个卧底，卧底队友被恐怖分子发现后主角不得不亲自处决队友以此换取信任，现在特工归来了，得到了队友的信件。但是由于外部施法，此处的场景变为了记忆圣所，主角需要在特工视角下抵御法术的侵扰，读出特工队友的信件。,bgm8
记忆圣所,信件,38,,,1.0,然而黑沙从信件裂缝中涌出，墙壁正剥落成记忆圣所的青铜色。,,,游戏设定主角会通灵术，为了拯救被施法的特工，使用通灵术同步他的记忆。特工曾经是个卧底，卧底队友被恐怖分子发现后主角不得不亲自处决队友以此换取信任，现在特工归来了，得到了队友的信件。但是由于外部施法，此处的场景变为了记忆圣所，主角需要在特工视角下抵御法术的侵扰，读出特工队友的信件。,bgm8
记忆圣所,黑沙,39,,,1.0,"<placeholder_for_img:memory>
<p class=""trait-warning"">这里是哪里？我的灵能所造还是鬣狗的灵魂映射？</p>",,,游戏设定主角会通灵术，为了拯救被施法的特工，使用通灵术同步他的记忆。特工曾经是个卧底，卧底队友被恐怖分子发现后主角不得不亲自处决队友以此换取信任，现在特工归来了，得到了队友的信件。但是由于外部施法，此处的场景变为了记忆圣所，主角需要在特工视角下抵御法术的侵扰，读出特工队友的信件。,bgm8
记忆圣所,火盆,40,,,1.0,墙角铸铁火盆跃动着无温蓝焰。,,,游戏设定主角会通灵术，为了拯救被施法的特工，使用通灵术同步他的记忆。特工曾经是个卧底，卧底队友被恐怖分子发现后主角不得不亲自处决队友以此换取信任，现在特工归来了，得到了队友的信件。但是由于外部施法，此处的场景变为了记忆圣所，主角需要在特工视角下抵御法术的侵扰，读出特工队友的信件。,bgm8
记忆圣所,星群,41,,,1.0,窗外星群随你的心跳收缩频率闪烁。,,,游戏设定主角会通灵术，为了拯救被施法的特工，使用通灵术同步他的记忆。特工曾经是个卧底，卧底队友被恐怖分子发现后主角不得不亲自处决队友以此换取信任，现在特工归来了，得到了队友的信件。但是由于外部施法，此处的场景变为了记忆圣所，主角需要在特工视角下抵御法术的侵扰，读出特工队友的信件。,bgm8
记忆圣所,棱镜,42,,,1.0,"你意识到通灵术被阻断了，灵魂感到刺痛甚至于灼烧感——黑沙不仅正在侵蚀鬣狗的记忆，神智还正在侵蚀你的灵能。你原本的灵能不再和鬣狗同步，化为了记忆圣所中间的巨大棱镜。
现在只能寄希望于鬣狗了。",,,游戏设定主角会通灵术，为了拯救被施法的特工，使用通灵术同步他的记忆。特工曾经是个卧底，卧底队友被恐怖分子发现后主角不得不亲自处决队友以此换取信任，现在特工归来了，得到了队友的信件。但是由于外部施法，此处的场景变为了记忆圣所，主角需要在特工视角下抵御法术的侵扰，读出特工队友的信件。,bgm8
记忆圣所,黑沙,,10,,0.0,信件没有被冷焰灼烧，但是黑色沙粒却开始扭曲变形，突然凝成百足黑蜈蚣裂信而出，毒颚大开向你袭来。,,,游戏设定主角会通灵术，为了拯救被施法的特工，使用通灵术同步他的记忆。特工曾经是个卧底，卧底队友被恐怖分子发现后主角不得不亲自处决队友以此换取信任，现在特工归来了，得到了队友的信件。但是由于外部施法，此处的场景变为了记忆圣所，主角需要在特工视角下抵御法术的侵扰，读出特工队友的信件。,bgm8
壁画窟,,0,,,1.0,在一阵耳鸣声中，青砖地凉意透过衣料；你闻到了陈年矿物腥气，混合着新鲜漆料的酸腐味，直冲天灵盖,,,游戏设定主角为了追踪“绿衣人”从中国古代穿越到现代，获取现代知识并拯救了特工“鬣狗”，现在和鬣狗一起穿越回到了自己的时代并来到了壁画窟，主角需要在这里想办法找到绿衣人的线索。,bgm9
壁画窟,鬓狗,,11,,1.0,眼前鬣狗反握匕首，指节仍泛白，但眼尾戾气已散。,,,游戏设定主角为了追踪“绿衣人”从中国古代穿越到现代，获取现代知识并拯救了特工“鬣狗”，现在和鬣狗一起穿越回到了自己的时代并来到了壁画窟，主角需要在这里想办法找到绿衣人的线索。,bgm9
壁画窟,壁画,43,,,1.0,周围壁画画着这个世界不存在的景象：透明的瓷瓶，冰冷的机械，还有浑身包着黑布的细作。那分明是鬣狗的世界。,,,游戏设定主角为了追踪“绿衣人”从中国古代穿越到现代，获取现代知识并拯救了特工“鬣狗”，现在和鬣狗一起穿越回到了自己的时代并来到了壁画窟，主角需要在这里想办法找到绿衣人的线索。,bgm9
壁画窟,画匠,,12,,1.0,后方的画匠看到这一景象，直接一个踉跄倒在了地上，嘴巴颤抖着不敢说话。,,,游戏设定主角为了追踪“绿衣人”从中国古代穿越到现代，获取现代知识并拯救了特工“鬣狗”，现在和鬣狗一起穿越回到了自己的时代并来到了壁画窟，主角需要在这里想办法找到绿衣人的线索。,bgm9
壁画窟,马骨笔,44,,,0.0,,,,游戏设定主角为了追踪“绿衣人”从中国古代穿越到现代，获取现代知识并拯救了特工“鬣狗”，现在和鬣狗一起穿越回到了自己的时代并来到了壁画窟，主角需要在这里想办法找到绿衣人的线索。,bgm9
壁画窟,发光沙粒,45,,,0.0,,,,游戏设定主角为了追踪“绿衣人”从中国古代穿越到现代，获取现代知识并拯救了特工“鬣狗”，现在和鬣狗一起穿越回到了自己的时代并来到了壁画窟，主角需要在这里想办法找到绿衣人的线索。,bgm9
壁画窟x,,0,,,1.0,在一阵耳鸣声中，青砖地凉意透过衣料；你闻到了陈年矿物腥气，混合着新鲜漆料的酸腐味，直冲天灵盖,,,游戏设定主角为了追踪“绿衣人”从中国古代穿越到现代，获取现代知识并拯救了特工“鬣狗”，现在和鬣狗一起穿越回到了自己的时代并来到了壁画窟，又在此地杀害了鬣狗，主角需要在这里想办法找到绿衣人的线索。,bgm9
